number,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,original_c,original_i,original_o,stander_c,stander_i,stander_o,total
30008,3,3,2,3,3,2,5,2,1,4,3,2,5,4,3,1,1,1,2,3,1,1,3,3,3,2,4,3,3,18,8,10,7,3,5,36
30009,2,1,3,2,3,1,5,1,2,3,4,3,5,4,3,3,2,1,3,3,1,2,3,2,3,2,4,3,3,16,3,6,6,1,3,25
30010,2,2,2,2,3,2,4,2,3,4,3,5,2,3,2,3,2,3,3,3,3,2,3,3,3,2,3,2,3,13,9,12,5,2,6,34
30011,2,4,1,3,3,2,5,2,3,3,3,2,2,3,2,2,3,3,3,2,2,3,3,2,3,2,3,2,2,14,9,13,6,2,7,36
30012,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,2,3,2,3,2,3,4,4,2,3,12,11,13,5,5,7,36
30014,2,1,3,3,3,3,3,3,3,3,3,5,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,3,13,10,13,5,5,7,36
30015,2,2,2,2,2,2,5,2,3,3,3,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,2,3,13,10,13,5,5,7,36
30016,2,2,3,3,3,3,4,4,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,13,10,13,5,5,7,36
30017,2,4,4,3,3,4,4,3,4,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,5,3,13,10,13,5,5,7,36
30018,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,2,3,13,10,13,5,5,7,36
30019,2,2,2,3,3,3,4,2,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,13,10,13,5,5,7,36
30020,2,1,2,3,3,3,1,1,1,3,4,5,4,4,1,2,1,2,5,1,1,2,1,3,2,4,5,2,2,16,12,13,6,6,7,41
